"unique_key","created_date","closed_date","agency","agency_name","complaint_type","descriptor","descriptor_2","location_type","incident_zip","incident_address","street_name","cross_street_1","cross_street_2","intersection_street_1","intersection_street_2","address_type","city","landmark","facility_type","status","due_date","resolution_description","resolution_action_updated_date","community_board","council_district","police_precinct","bbl","borough","x_coordinate_state_plane","y_coordinate_state_plane","open_data_channel_type","park_facility_name","park_borough","vehicle_type","taxi_company_borough","taxi_pick_up_location","bridge_highway_name","bridge_highway_direction","road_ramp","bridge_highway_segment","latitude","longitude","location"
"45279374","2019-12-31T23:55:24.000","2020-01-01T16:35:36.000","NYPD","New York City Police Department","Blocked Driveway","No Access",,"Street/Sidewalk","10457","2086 RYER AVENUE","RYER AVENUE","EAST  180 STREET","EAST  181 STREET","EAST  180 STREET","EAST  181 STREET",,"BRONX","RYER AVENUE",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T16:35:38.000","05 BRONX","15","Precinct 46","2031490076","BRONX","1011699","250119","PHONE","Unspecified","BRONX",,,,,,,,"40.85315114110771","-73.9007785404599","POINT (-73.90077854046 40.853151141108)"
"45282046","2019-12-31T23:55:11.000","2020-01-01T01:12:46.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","11213","1470 STERLING PLACE","STERLING PLACE","UTICA AVENUE","ROCHESTER AVENUE","UTICA AVENUE","ROCHESTER AVENUE",,"BROOKLYN","STERLING PLACE",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2020-01-01T01:12:48.000","08 BROOKLYN","36","Precinct 77","3013790019","BROOKLYN","1003688","183898","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.67141293538702","-73.929927825164","POINT (-73.929927825164 40.671412935387)"
"45282079","2019-12-31T23:55:03.000","2020-01-01T01:54:07.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,,"10458","357 EAST  201 STREET","EAST  201 STREET","MARION AVENUE","DECATUR AVENUE","MARION AVENUE","DECATUR AVENUE",,"BRONX","EAST  201 STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T01:54:12.000","07 BRONX","11","Precinct 52","2032810040","BRONX","1016711","256113","PHONE","Unspecified","BRONX",,,,,,,,"40.86958584547678","-73.88263236892325","POINT (-73.882632368923 40.869585845477)"
"45284531","2019-12-31T23:55:02.000","2020-01-01T01:57:18.000","NYPD","New York City Police Department","Noise - Commercial","Loud Music/Party",,,"11209","8424 3 AVENUE","3 AVENUE","84 STREET","85 STREET","84 STREET","85 STREET",,"BROOKLYN","3 AVENUE",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2020-01-01T01:57:22.000","10 BROOKLYN","43","Precinct 68","3060240047","BROOKLYN","975776","166907","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.62479360728003","-74.03052663868758","POINT (-74.030526638688 40.62479360728)"
"45278789","2019-12-31T23:54:52.000","2020-01-01T07:52:36.000","NYPD","New York City Police Department","Blocked Driveway","No Access",,,"11414","151-19 78 STREET","78 STREET","STANLEY AVENUE","153 AVENUE","STANLEY AVENUE","153 AVENUE",,"HOWARD BEACH","78 STREET",,"Closed",,"The Police Department issued a summons in response to the complaint.","2020-01-01T07:52:39.000","10 QUEENS","32","Precinct 106","4114257502","QUEENS","1024094","182209","PHONE","Unspecified","QUEENS",,,,,,,,"40.66670869147315","-73.85637618176581","POINT (-73.856376181766 40.666708691473)"
"45279220","2019-12-31T23:53:57.000","2020-01-02T21:48:56.000","HPD","Department of Housing Preservation and Development","HEAT/HOT WATER","ENTIRE BUILDING","NO HEAT","RESIDENTIAL BUILDING","11238","51 QUINCY STREET","QUINCY STREET",,,,,"ADDRESS","BROOKLYN",,,"Closed",,"The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.","2020-01-02T21:48:56.000","03 BROOKLYN","35","Precinct 79","3019700001","BROOKLYN","995634","189212","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.6860126809947","-73.95895276076813","POINT (-73.958952760768 40.686012680995)"
"45279492","2019-12-31T23:52:42.000","2020-01-01T05:56:35.000","NYPD","New York City Police Department","Noise - Commercial","Banging/Pounding",,"Store/Commercial","11206","110 TROUTMAN STREET","TROUTMAN STREET","EVERGREEN AVENUE","CENTRAL AVENUE","EVERGREEN AVENUE","CENTRAL AVENUE",,"BROOKLYN","TROUTMAN STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T05:56:42.000","04 BROOKLYN","34","Precinct 83","3031840017","BROOKLYN","1003701","194109","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.69943975805025","-73.92985148392047","POINT (-73.92985148392 40.69943975805)"
"45283774","2019-12-31T23:52:29.000","2020-01-01T02:19:49.000","NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party",,"Street/Sidewalk","10040","655 WEST  190 STREET","WEST  190 STREET","WADSWORTH AVENUE","WADSWORTH TERRACE","WADSWORTH AVENUE","WADSWORTH TERRACE",,"NEW YORK","WEST  190 STREET",,"Closed",,"The Police Department responded to the complaint but officers were unable to gain entry into the premises.","2020-01-01T02:19:50.000","12 MANHATTAN","10","Precinct 34","1021700332","MANHATTAN","1003314","250976","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.85552543675843","-73.93108582388751","POINT (-73.931085823888 40.855525436758)"
"45282970","2019-12-31T23:52:26.000","2020-01-01T00:17:21.000","NYPD","New York City Police Department","Noise - Commercial","Loud Music/Party",,"Store/Commercial","11361","40-12 BELL BOULEVARD","BELL BOULEVARD","40 AVENUE","41 AVENUE","40 AVENUE","41 AVENUE",,"BAYSIDE","BELL BOULEVARD",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T00:17:24.000","11 QUEENS","19","Precinct 111","4062370032","QUEENS","1047616","217744","MOBILE","Unspecified","QUEENS",,,,,,,,"40.764106321118824","-73.77125334303817","POINT (-73.771253343038 40.764106321119)"
"45280912","2019-12-31T23:51:45.000","2020-01-01T11:35:22.000","NYPD","New York City Police Department","Illegal Parking","Blocked Sidewalk",,"Street/Sidewalk","11419","115-17 95 AVENUE","95 AVENUE","115 STREET","116 STREET","115 STREET","116 STREET",,"SOUTH RICHMOND HILL","95 AVENUE",,"Closed",,"The Police Department responded and upon arrival those responsible for the condition were gone.","2020-01-01T11:35:24.000","09 QUEENS","28","Precinct 102","4094010029","QUEENS","1031307","191254","MOBILE","Unspecified","QUEENS",,,,,,,,"40.69149972214115","-73.83031271704199","POINT (-73.830312717042 40.691499722141)"
"45283545","2019-12-31T23:51:21.000","2020-01-02T16:32:51.000","HPD","Department of Housing Preservation and Development","HEAT/HOT WATER","APARTMENT ONLY","NO HEAT","RESIDENTIAL BUILDING","11203","249 EAST   37 STREET","EAST   37 STREET",,,,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.","2020-01-02T16:32:51.000","17 BROOKLYN","45","Precinct 67","3048910001","BROOKLYN","1000126","176402","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.65084517791528","-73.94278614805258","POINT (-73.942786148053 40.650845177915)"
"45280508","2019-12-31T23:51:20.000","2020-01-01T00:46:18.000","NYPD","New York City Police Department","Blocked Driveway","Partial Access",,"Street/Sidewalk","11208","311 HEMLOCK STREET","HEMLOCK STREET","FULTON STREET","ATLANTIC AVENUE","FULTON STREET","ATLANTIC AVENUE",,"BROOKLYN","HEMLOCK STREET",,"Closed",,"The Police Department issued a summons in response to the complaint.","2020-01-01T00:46:19.000","05 BROOKLYN","37","Precinct 75","3041480002","BROOKLYN","1020080","187917","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.682393004538376","-73.87081489543642","POINT (-73.870814895436 40.682393004538)"
"45278223","2019-12-31T23:51:06.000","2020-01-01T02:29:30.000","NYPD","New York City Police Department","Noise - Commercial","Loud Talking",,"Club/Bar/Restaurant","11222","179 NASSAU AVENUE","NASSAU AVENUE","DIAMOND STREET","JEWEL STREET","DIAMOND STREET","JEWEL STREET",,"BROOKLYN","NASSAU AVENUE",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2020-01-01T02:29:31.000","01 BROOKLYN","33","Precinct 94","3026520029","BROOKLYN","999205","203546","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.725350811165036","-73.94604498999912","POINT (-73.946044989999 40.725350811165)"
"45281367","2019-12-31T23:51:05.000","2019-12-31T23:51:07.000","EDC","Economic Development Corporation","Noise - Helicopter","Other","Flying Too Low","Above Address","10016","247 EAST   28 STREET","EAST   28 STREET","3 AVENUE","2 AVENUE","3 AVENUE","2 AVENUE",,"NEW YORK","EAST   28 STREET",,"Closed",,,,"06 MANHATTAN","02","Precinct 13","1009090028","MANHATTAN","990018","209343","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.741272911443595","-73.97918509839646","POINT (-73.979185098396 40.741272911444)"
"45278812","2019-12-31T23:51:00.000","2020-01-01T10:03:22.000","NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party",,"Street/Sidewalk","10460","1705 HOE AVENUE","HOE AVENUE","EAST  173 STREET","EAST  174 STREET","EAST  173 STREET","EAST  174 STREET",,"BRONX","HOE AVENUE",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2020-01-01T10:03:25.000","03 BRONX","17","Precinct 42","2029830030","BRONX","1015446","244002","ONLINE","Unspecified","BRONX",,,,,,,,"40.83634934042209","-73.88726251817741","POINT (-73.887262518177 40.836349340422)"
"45282919","2019-12-31T23:50:57.000","2020-01-01T02:07:23.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","10463","500 WEST  235 STREET","WEST  235 STREET","RIVERDALE AVENUE","CAMBRIDGE AVENUE","RIVERDALE AVENUE","CAMBRIDGE AVENUE",,"BRONX","WEST  235 STREET",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2020-01-01T02:07:24.000","08 BRONX","11","Precinct 50","2057840340","BRONX","1009830","261790","PHONE","Unspecified","BRONX",,,,,,,,"40.885190068846924","-73.9074899618495","POINT (-73.907489961849 40.885190068847)"
"45283107","2019-12-31T23:50:53.000","2020-01-01T15:56:02.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","10002","45 RUTGERS STREET","RUTGERS STREET","MADISON STREET","CHERRY STREET","MADISON STREET","CHERRY STREET",,"NEW YORK","RUTGERS STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T15:56:06.000","03 MANHATTAN","01","Precinct 7","1002560001","MANHATTAN","987060","198705","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.712075625381324","-73.9898640338808","POINT (-73.989864033881 40.712075625381)"
"45284136","2019-12-31T23:50:42.000","2020-01-01T03:11:21.000","NYPD","New York City Police Department","Noise - Commercial","Loud Music/Party",,"Club/Bar/Restaurant","11201","42 HOYT STREET","HOYT STREET","LIVINGSTON STREET","SCHERMERHORN STREET","LIVINGSTON STREET","SCHERMERHORN STREET",,"BROOKLYN","HOYT STREET",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2020-01-01T03:11:25.000","02 BROOKLYN","33","Precinct 84","3001640038","BROOKLYN","988140","190409","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.689304637455585","-73.98597315191186","POINT (-73.985973151912 40.689304637456)"
"45278524","2019-12-31T23:50:42.000","2020-01-01T01:00:58.000","NYPD","New York City Police Department","Noise - Commercial","Loud Music/Party",,"Store/Commercial","11215","689 6 AVENUE","6 AVENUE","19 STREET","20 STREET","19 STREET","20 STREET",,"BROOKLYN","6 AVENUE",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2020-01-01T01:01:01.000","07 BROOKLYN","38","Precinct 72","3008860001","BROOKLYN","986874","179971","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.660655143628304","-73.99054225150822","POINT (-73.990542251508 40.660655143628)"
"45284482","2019-12-31T23:50:40.000","2020-01-01T01:44:26.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","11213","216 SCHENECTADY AVENUE","SCHENECTADY AVENUE","PARK PLACE","STERLING PLACE","PARK PLACE","STERLING PLACE",,"BROOKLYN","SCHENECTADY AVENUE",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T01:44:31.000","08 BROOKLYN","36","Precinct 77","3013710047","BROOKLYN","1002665","184100","ONLINE","Unspecified","BROOKLYN",,,,,,,,"40.67196956701093","-73.93361509132863","POINT (-73.933615091329 40.671969567011)"
"45278982","2019-12-31T23:50:37.000","2020-01-02T15:59:49.000","HPD","Department of Housing Preservation and Development","HEAT/HOT WATER","APARTMENT ONLY","NO HEAT","RESIDENTIAL BUILDING","10459","1327 SOUTHERN BOULEVARD","SOUTHERN BOULEVARD",,,,,"ADDRESS","BRONX",,,"Closed",,"The Department of Housing Preservation and Development was not able to gain access to your apartment or others in the building to inspect for a lack of heat or hot water. The complaint has been closed. If the condition still exists, please file a new complaint.","2020-01-02T15:59:49.000","03 BRONX","17","Precinct 42","2029760092","BRONX","1014280","242088","PHONE","Unspecified","BRONX",,,,,,,,"40.83110000795265","-73.89148482467765","POINT (-73.891484824678 40.831100007953)"
"45279742","2019-12-31T23:50:02.000","2020-01-01T00:53:07.000","NYPD","New York City Police Department","Illegal Parking","Blocked Hydrant",,"Street/Sidewalk","11223","2228 EAST    7 STREET","EAST    7 STREET","AVENUE U","AVENUE V","AVENUE U","AVENUE V",,"BROOKLYN","EAST    7 STREET",,"Closed",,"Your request can not be processed at this time because of insufficient contact information. Please create a new Service Request on NYC.gov and provide more detailed contact information.","2020-01-01T00:53:10.000","15 BROOKLYN","47","Precinct 61","3071330035","BROOKLYN","994303","156538","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.596331184859906","-73.96380062685692","POINT (-73.963800626857 40.59633118486)"
"45283294","2019-12-31T23:49:55.000","2020-01-01T03:37:33.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","11219","1410 57 STREET","57 STREET","14 AVENUE","15 AVENUE","14 AVENUE","15 AVENUE",,"BROOKLYN","57 STREET",,"Closed",,"The Police Department responded to the complaint and took action to fix the condition.","2020-01-01T03:37:37.000","12 BROOKLYN","44","Precinct 66","3056990013","BROOKLYN","985888","168407","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.62891469343548","-73.99409892367171","POINT (-73.994098923672 40.628914693435)"
"45284452","2019-12-31T23:49:38.000","2020-01-16T09:33:46.000","HPD","Department of Housing Preservation and Development","GENERAL","JANITOR/SUPER","NO JANITOR AVAILABLE","RESIDENTIAL BUILDING","11226","55 LINDEN BOULEVARD","LINDEN BOULEVARD",,,,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.","2020-01-16T09:33:46.000","14 BROOKLYN","40","Precinct 70","3050830071","BROOKLYN","996116","176915","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.65225953213826","-73.957236461429","POINT (-73.957236461429 40.652259532138)"
"45279602","2019-12-31T23:49:33.000","2020-01-01T01:02:27.000","NYPD","New York City Police Department","Blocked Driveway","No Access",,"Street/Sidewalk","11211","366 MANHATTAN AVENUE","MANHATTAN AVENUE","JACKSON STREET","WITHERS STREET","JACKSON STREET","WITHERS STREET",,"BROOKLYN","MANHATTAN AVENUE",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T01:02:30.000","01 BROOKLYN","34","Precinct 94","3027440001","BROOKLYN","999102","200356","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.71659520590137","-73.94642363492042","POINT (-73.94642363492 40.716595205901)"
"45284640","2019-12-31T23:48:52.000","2020-01-01T08:19:53.000","NYPD","New York City Police Department","Noise - Residential","Banging/Pounding",,,"11224","2837 WEST   15 STREET","WEST   15 STREET","NEPTUNE AVENUE","MERMAID AVENUE","NEPTUNE AVENUE","MERMAID AVENUE",,"BROOKLYN","WEST   15 STREET",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T08:19:57.000","13 BROOKLYN","47","Precinct 60","3070230064","BROOKLYN","989000","149940","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.57822541867974","-73.98290058623272","POINT (-73.982900586233 40.57822541868)"
"45283671","2019-12-31T23:47:53.000","2020-01-01T00:21:03.000","NYPD","New York City Police Department","Noise - Commercial","Loud Music/Party",,"Store/Commercial","10036","401 WEST   48 STREET","WEST   48 STREET","9 AVENUE","10 AVENUE","9 AVENUE","10 AVENUE",,"NEW YORK","WEST   48 STREET",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2020-01-01T00:21:08.000","04 MANHATTAN","03","Precinct 18","1010580029","MANHATTAN","986941","217048","MOBILE","Unspecified","MANHATTAN",,,,,,,,"40.76242265800744","-73.99028594206287","POINT (-73.990285942063 40.762422658007)"
"45279008","2019-12-31T23:47:53.000","2020-01-02T16:06:40.000","HPD","Department of Housing Preservation and Development","HEAT/HOT WATER","APARTMENT ONLY","NO HEAT","RESIDENTIAL BUILDING","11209","9511 SHORE ROAD","SHORE ROAD",,,,,"ADDRESS","BROOKLYN",,,"Closed",,"The complaint you filed is a duplicate of a condition already reported by another tenant for a building-wide condition. The original complaint is still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection of your unit if the original complainant is not available for verification.","2020-01-02T16:06:40.000","10 BROOKLYN","43","Precinct 68","3061207502","BROOKLYN","973626","163839","MOBILE","Unspecified","BROOKLYN",,,,,,,,"40.61637026983262","-74.03826694457253","POINT (-74.038266944573 40.616370269833)"
"45284157","2019-12-31T23:47:39.000","2020-01-01T08:22:05.000","NYPD","New York City Police Department","Noise - Residential","Loud Music/Party",,"Residential Building/House","11375","100-25 QUEENS BOULEVARD","QUEENS BOULEVARD","67 AVENUE","67 ROAD","67 AVENUE","67 ROAD",,"FOREST HILLS","QUEENS BOULEVARD",,"Closed",,"The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.","2020-01-01T08:22:08.000","06 QUEENS","29","Precinct 112","4021197501","QUEENS","1024887","204121","PHONE","Unspecified","QUEENS",,,,,,,,"40.726848344854666","-73.85338549666106","POINT (-73.853385496661 40.726848344855)"
"45279306","2019-12-31T23:47:09.000","2020-01-01T03:28:38.000","NYPD","New York City Police Department","Blocked Driveway","No Access",,"Street/Sidewalk","10002","286 SOUTH STREET","SOUTH STREET","CLINTON STREET","FRANKLIN D ROOSEVELT DRIVE","CLINTON STREET","FRANKLIN D ROOSEVELT DRIVE",,"NEW YORK","SOUTH STREET",,"Closed",,"This complaint does not fall under the Police Department's jurisdiction.","2020-01-01T03:28:41.000","03 MANHATTAN","01","Precinct 7","1002450001","MANHATTAN","987973","198123","PHONE","Unspecified","MANHATTAN",,,,,,,,"40.7104778366638","-73.98657106854841","POINT (-73.986571068548 40.710477836664)"
"45279006","2019-12-31T23:46:33.000","2020-01-03T14:59:25.000","HPD","Department of Housing Preservation and Development","ELECTRIC","LIGHTING","DIMS OR FLICKERS","RESIDENTIAL BUILDING","11226","55 LINDEN BOULEVARD","LINDEN BOULEVARD",,,,,"ADDRESS","BROOKLYN",,,"Closed",,"The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.","2020-01-03T14:59:25.000","14 BROOKLYN","40","Precinct 70","3050830071","BROOKLYN","996116","176915","PHONE","Unspecified","BROOKLYN",,,,,,,,"40.65225953213826","-73.957236461429","POINT (-73.957236461429 40.652259532138)"
"45283440","2019-12-31T23:46:14.000","2020-01-01T00:13:20.000","NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Talking",,"Street/Sidewalk","10013","565 BROOME STREET","BROOME STREET","AVENUE OF THE AMERICAS","VARICK STREET","AVENUE OF THE AMERICAS","VARICK STREET",,"NEW YORK","BROOME STREET",,"Closed",,"The Police Department responded to the complaint and determined that police action was not necessary.","2020-01-01T00:13:26.000","02 MANHATTAN","03","Precinct 1","1004777502","MANHATTAN","982629","203186","ONLINE","Unspecified","MANHATTAN",,,,,,,,"40.72437519160271","-74.00584819694839","POINT (-74.005848196948 40.724375191603)"
